urn,name,address1,address2,town,postcode,p8mea
131262,Westminster Academy,The Naim Dangoor Centre,255 Harrow Road,London,W2 5EZ,-0.05
138312,Westminster City School,55 Palace Street,,London,SW1E 5HJ,0.09
101247,All Saints Catholic School and Technology College,Terling Road,Wood Lane,Dagenham,RM8 1JT,0.72
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Sandringham Road,,Barking,IG11 9AG,0.02
148932,Brook Sixth Form and Academy,Yew Tree Avenue,Rainham Road South,Dagenham,RM10 7FN,-0.6
136028,Dagenham Park CofE School,School Road,,Dagenham,RM10 9QH,-0.25
101243,Eastbrook School,Dagenham Road,,Dagenham,RM10 7UR,-0.62
101244,Eastbury Community School,Hulse Avenue,,Barking,IG11 9UW,0.21
140962,Goresbrook School,Cook Road,,Dagenham,RM9 6XW,0.87
142908,Greatfields School,Net Street,,Barking,IG11 7QG,0.3
133561,Jo Richardson Community School,Gale Street,Castle Green,Dagenham,RM9 4UN,0.2
139791,Riverside School,Renwick Road,,Barking,IG11 0FU,0.78
101245,Robert Clack School,Gosfield Road,,Dagenham,RM8 1JU,0.16
141683,The Sydney Russell School,Parsloes Avenue,,Dagenham,RM9 5QT,0.72
141178,The Warren School,Whalebone Lane North,Chadwell Heath,Romford,RM6 6SB,0.37
139594,The Archer Academy,Eagans Close,,London,N2 8GA,0.61
147061,Ark Pioneer Academy,Westcombe Drive,,Barnet,EN5 2BE,0.57
136308,Ashmole Academy,Cecil Road,Southgate,London,N14 5RJ,0.85
143082,Bishop Douglass School Finchley,Hamilton Road,East Finchley,London,N2 0SQ,0.43
137388,Christ's College Finchley,East End Road,East Finchley,London,N2 0SE,0.7
136418,The Compton School,Summers Lane,,London,N12 0QG,0.73
138685,Copthall School,Pursley Road,Mill Hill,London,NW7 2EP,0.44
136658,East Barnet School,Chestnut Grove,East Barnet,Barnet,EN4 8PU,0.16
101362,Finchley Catholic High School,Woodside Lane,Finchley,London,N12 8TA,0.94
101345,Friern Barnet School,Hemington Avenue,Friern Barnet,London,N11 3LS,0
137539,Hasmonean High School for Boys,Holders Hill Road,Hendon,London,NW4 1NA,0.7
147238,Hasmonean High School for Girls,2 - 4 Page Street,Mill Hill,London,NW7 2EU,1.21
137645,Hendon School,Golders Rise,Hendon,London,NW4 2HP,-0.13
138051,The Henrietta Barnett School,Central Square,Hampstead Garden Suburb,London,NW11 7BN,1.09
135747,JCoSS,Castlewood Road,,New Barnet,EN4 9GE,0.97
134798,London Academy,Spur Road,,Edgware,HA8 8DE,0.74
142627,Menorah High School for Girls,105 Brook Road,,London,NW2 7BZ,1.58
137386,Mill Hill County High School,Worcester Crescent,Mill Hill,London,NW7 4LL,0.24
137131,Queen Elizabeth's Girls' School,High Street,,Barnet,EN5 5RR,0.74
136290,"Queen Elizabeth's School, Barnet",Queen's Road,,Barnet,EN5 4DQ,1.22
